i	sha	prompt_len	output_len
274	eedc738bf791db31	61	71
275	a3088819092b4a84	16	169
276	386dde4019578544	112	302
277	3df2333303077bfc	23	306
278	49661089fdc12d7c	204	28
279	959a48dbbc76c238	85	52
280	8e0dc48606ef8fc6	788	11
281	af9b7abc8a24d938	25	259
282	5e0b0c404d1d9910	382	25
283	09f9f03cbe8f11b3	84	292
284	d1277daf0e786edc	99	435
285	f73edddc9fae38c4	832	18
286	b3eab7b1fae7b6ba	259	195
287	8d612ac77d6b19ab	373	28
288	fbe24455d14cdf05	752	15
289	c16920db85ac6080	562	11
290	f90d0c13b902d7d3	237	22
291	7f5c21a599fb199f	11	193
292	171ae428f8e85679	173	242
293	a3520db9aea91bfb	18	102
294	555ef810f0a911a5	196	8
295	789de56030ba95f1	39	333
296	dffd5549bda9eb4b	34	334
297	71fcdfca0e3ddfb0	270	326
298	42681350bbe73677	29	353
299	005ca897badaa8ed	166	599
300	a1d88ae01b79e76e	222	94
301	14bb7d966351c807	38	1439
302	e99c2a07b814ba82	270	23
303	24cdbc42c4ed2de4	576	93
304	40f92e56862492b2	21	327
305	32a8452b6fcb9043	38	131
306	1f5a4afa957bd76b	776	39
307	91ba875d1934e939	527	213
308	b83817a664af6025	5	56
309	295b5559560e28d9	4	277
310	050c6a8a5ac172b5	144	362
311	92581dcfddb46c5e	29	1003
312	760d8b97087e21b9	203	819
313	f3eb37a68b920522	839	37
314	4548ac80824a123e	390	43
315	73c663f44bba1f8a	11	241
316	bec0287aa5dd76ea	103	692
317	c9d6c218295aa589	288	14
318	3c9362920a0258b6	7	35
319	40ddd4cbb407c117	19	88
320	63cfa38faf03874d	230	6
321	211ef5464e6067ca	42	262
322	55de9b304cd5f784	439	604
323	f8aa78ac333684e9	282	28
324	b27bcceb098a422a	476	15
325	42d61fd419133568	15	318
326	8368e6d48e1c5d6b	364	10
327	1c496b5a68ef2b8d	66	345
328	2e862149b86bc768	645	1321
329	af85b1b4717ac7d2	631	9
330	eccf2e9afdd714bd	711	35
331	f9ec7e824cb08f86	544	11
332	2bbb8b4c8ec47c1d	15	72
333	6733d6d171423af4	214	6
334	deb889c10793abdf	52	354
335	ad2571ed14f45640	13	243
336	6ab4642edb861468	10	242
337	86baf777286ec44e	22	19
338	065f08c5ffaab5b0	819	110
339	3e5ecb06b20f4772	334	37
340	b6c7bd500b925372	313	10
341	df3b60631a2c5cb3	73	236
342	241e029ce30f0cfd	16	212
343	b8663ac8e8a080fd	552	103
344	9f393166b53d01de	10	76
345	f73045184efafb19	35	22
346	10e4fbef8150f030	10	160
347	11d0c0ba8d1f01c5	51	483
348	418bcf950fea379a	6	30
349	79e72ad2b46f87f3	19	68
350	923a797bcc11eea5	776	6
351	671e6c1b357ac98b	41	257
352	6e12a74cce81769b	171	96
353	e034777988e6fb98	490	91
354	fffb30882ff0257a	47	413
355	b06ec735f5f3d098	330	794
356	f8f51560950a6e5e	418	7
357	b50fbbfac75ec5a6	22	535
358	691fdf20d31d9124	735	9
359	1eb896373c34ab12	35	696
360	8270ed0ea6ad64d9	255	204
361	147f1ef8ab68a35e	16	367
362	0c795249dfc30d47	193	9
363	6de3bc3ea949236b	278	8
364	db9563a7a4591515	12	10
365	733059b24bcdfc85	384	44
366	66a9b38287ccd2e8	383	79
367	966558d700b2f625	42	246
368	f162dc9744247ed0	11	265
369	94d473aaffa40245	102	385
370	e99d7fd1739783b0	9	128
371	3ecd52bd9dca4014	390	153
372	c590ee6e60eb8ca8	64	276
373	7e62838505f2bc42	161	7
374	8da746d634a8818f	10	342
375	7177ab6d5317f42e	405	24
376	7455557554473cb7	93	9
377	9a24ce2ae6515060	38	196
378	3a80263d4336bd48	21	491
379	77bc62e4a4b93a27	7	169
380	c1ce1e7f3174738c	514	21
381	783c50ceccc0a33d	127	263
382	2200a813f61b7679	1018	168
383	6e408afd11185703	173	232
384	486917c2f085cbab	437	205
385	76669a0fb7d0fa2c	12	66
386	bdeca7f3c58ed95b	61	352
387	bc34f235e672b074	395	792
388	5fe3c426c337d44c	345	5
389	2b1eb04421aabeba	12	34
390	4337247f36efbd6c	694	9
391	82f505f4abc99b78	71	129
392	8df2ca1fa7360b34	107	67
393	6bea5baf6eb4a255	155	123
394	0f59297ada25fd01	464	39
395	5732620c3b947aee	674	98
396	2d953512c39b7672	484	8
397	54d8c7bd51a10df0	50	222
398	174685f32ee2cfc0	15	425
399	50c343be894ebdd4	625	420
